DIPSTICK,GALLONS
READING,GALLONS
"41-3/8""",931
"41-1/2""",933
"41-5/8""",935
"41-3/4""",938
"41-7/8""",940
"42""",942
"42-1/8""",944
"42-1/4""",946
"42-3/8""",948
"42-1/2""",950
"42-5/8""",952
"42-3/4""",954
"42-7/8""",956
"43""",958
"43-1/8""",960
"43-1/4""",962
"43-3/8""",964
"43-1/2""",966
"43-5/8""",968
"43-3/4""",970
"43-7/8""",971
"44""",973
"44-1/8""",975
"44-1/4""",977
"44-3/8""",978
"44-1/2""",980
"44-5/8""",982
"44-3/4""",983
"44-7/8""",985
"45""",986
"45-1/8""",988
"45-1/4""",989
"45-3/8""",991
"45-1/2""",992
"45-5/8""",993
"45-3/4""",995
"45-7/8""",996
"46""",997
"46-1/8""",998
"46-1/4""",1000
"46-3/8""",1001
"46-1/2""",1002
"46-5/8""",1003
"46-3/4""",1004
"46-7/8""",1005
"47""",1005
"47-1/8""",1006
"47-1/4""",1007
"47-3/8""",1008
"47-1/2""",1008
"47-5/8""",1009
"47-3/4""",1009
"47-7/8""",1009
"48""",1009
